a,b,c,d,e,f,g,h,class
0,92,0,56,31,36,35,0,1
0,77,0,6,6,40,72,32,1
0,77,0,34,10,41,44,2,1
4,86,4,44,13,43,42,0,1
-5,78,0,38,-16,37,39,2,1
0,86,8,46,0,39,40,0,1
0,82,0,44,-28,37,38,2,1
0,106,-2,34,1,68,72,4,1
0,78,5,24,-5,22,55,32,4
0,79,5,38,0,40,41,0,1
0,88,-1,42,-4,48,47,0,1
0,99,-1,28,-3,61,70,8,1
-4,78,0,42,2,37,37,0,1
-5,81,-6,46,0,33,34,0,1
0,95,0,46,-14,40,49,8,4
0,79,0,16,18,42,63,22,1
-4,79,0,38,0,39,41,2,1
1,78,0,38,-24,37,39,2,1
-1,80,0,38,-13,39,41,2,1
0,78,0,8,19,22,70,48,4
0,83,0,56,7,27,26,0,1
-203,106,0,36,8,69,69,0,1
5,77,0,50,0,26,28,2,1
0,81,2,46,-11,33,35,2,1
0,86,0,46,13,40,39,0,1
0,84,3,44,0,39,40,2,1
3,78,0,42,2,37,37,0,1
-4,88,-3,56,0,31,31,0,1
2,84,0,56,0,25,27,2,1
1,83,7,46,0,37,37,0,1
1,78,0,44,9,34,34,0,1
0,86,-4,42,-6,42,44,2,1
4,77,0,38,14,39,38,0,1
-4,99,2,46,0,43,52,10,4
0,81,-6,46,0,33,35,2,1
0,87,0,-40,5,4,128,124,5
0,79,0,42,-17,35,37,2,1
3,81,0,56,0,24,24,0,1
-5,107,0,44,-24,62,63,2,1
-2,77,0,38,0,37,38,2,1
0,76,0,-14,8,20,92,72,4
0,87,0,50,1,38,38,0,1
0,97,0,52,6,41,45,4,4
0,79,0,16,23,23,63,40,4
0,74,0,30,18,37,43,6,1
0,80,0,36,-16,43,44,2,1
1,81,0,54,571,27,26,0,1
0,76,0,44,-14,30,32,2,1
0,79,-3,38,0,39,41,2,1
-5,81,2,36,0,44,44,0,1
0,80,1,36,0,43,44,0,1
0,76,-2,38,-4,37,37,0,1
0,85,0,54,-1,30,31,2,1
0,91,1,50,0,41,42,0,1
0,76,6,34,26,39,43,4,1
0,79,0,44,-24,34,35,2,1
-2,89,0,56,0,33,32,0,1
0,79,0,6,8,42,74,32,1
2,77,0,42,18,36,36,0,1
4,82,0,42,0,40,41,0,1
0,83,3,46,0,36,37,0,1
-3,83,0,50,0,34,34,0,1
0,76,0,24,31,39,52,14,1
-3,76,0,46,9,31,30,0,1
-2,77,0,46,-1,29,31,2,1
0,83,-2,44,-3,37,39,2,1
0,78,0,24,-3,22,55,32,4
-1,96,-3,50,-21,41,47,6,4
0,82,0,50,20,33,33,0,1
0,79,0,36,28,41,43,2,1
4,88,0,52,21,37,37,0,1
0,83,0,56,25,27,26,0,1
3,90,0,44,26,47,46,0,1
1,86,0,38,0,47,47,0,1
0,95,-6,44,0,40,51,12,4
0,77,-3,50,0,28,28,0,1
0,82,0,-24,-28,26,108,82,4
-2,92,0,44,0,48,48,0,1
0,76,0,26,21,40,50,10,1
-4,84,0,56,0,26,27,0,1
0,83,0,-4,-13,46,88,42,1
5,79,0,46,15,33,32,0,1
0,96,0,38,20,59,57,0,1
0,75,0,38,0,37,36,0,1
0,94,0,8,-20,57,86,30,1
0,86,-7,38,0,45,47,2,1
0,83,0,46,19,37,36,0,1
4,86,-1,52,0,33,34,0,1
0,90,0,8,5,52,82,30,1
0,77,0,8,5,40,69,28,1
-2,106,-3,72,1,1,33,32,5
0,77,0,-22,-4,21,100,80,4
-2,87,0,44,-14,42,43,2,1
1,86,1,46,0,40,40,0,1
-1,81,0,38,-20,40,42,2,1
0,86,0,52,-14,33,34,0,1
0,88,-7,46,-53,42,41,0,1
2,85,-2,38,0,46,46,0,1
-5,81,0,-40,0,4,122,118,5
0,92,0,24,4,55,69,14,1
0,80,0,-2,-8,24,83,58,4
-1,81,0,46,0,34,34,0,1
1,84,0,56,-8,25,27,2,1
0,96,-5,56,0,38,39,2,1
0,86,0,52,20,35,34,0,1
-1,80,0,52,0,27,28,0,1
0,76,-4,18,-3,39,57,18,1
1,77,1,42,-16,34,36,2,1
0,86,0,42,7,45,45,0,1
0,84,0,56,-4,25,27,2,1
0,78,0,52,19,27,26,0,1
0,81,-2,46,0,35,34,0,1
1,83,0,44,15,39,39,0,1
0,81,0,-6,31,25,89,64,4
1,107,-1,50,0,56,58,2,1
4,77,0,0,0,40,77,36,1
0,84,0,56,0,29,28,0,1
0,86,-7,46,0,37,39,2,1
0,79,2,34,9,42,46,4,1
0,93,0,46,6,48,47,0,1
0,96,1,44,8,40,52,12,4
0,85,-3,46,-3,39,39,0,1
0,88,0,38,-5,48,50,2,1
0,83,0,-28,-4,27,111,84,4
0,81,6,42,-1,37,39,2,1
0,76,0,26,-21,40,50,10,1
0,77,0,44,-24,32,34,2,1
3,81,0,54,-10,25,27,2,1
0,82,-1,42,23,41,41,0,1
3,85,0,42,0,42,44,2,1
-1,71,-4,0,0,16,71,56,4
0,76,4,42,0,34,35,2,1
0,81,4,50,-13,30,32,2,1
0,83,0,42,-10,39,41,2,1
0,77,0,10,-12,40,66,26,1
0,79,-1,36,-6,42,43,2,1
0,81,0,-22,-27,26,105,78,4
0,84,0,54,-15,28,30,2,1
0,83,-2,46,0,36,36,0,1
0,82,0,18,20,45,64,18,1
2,80,0,56,2,24,23,0,1
0,95,0,54,-4,40,41,2,1
3,81,0,54,17,28,27,0,1
0,93,-4,12,0,55,80,24,1
0,77,0,46,31,32,31,0,1
3,86,0,52,0,34,35,0,1
0,79,0,0,-12,42,79,36,1
0,81,6,-10,-7,25,92,66,4
0,81,0,44,29,38,37,0,1
0,103,0,24,-23,66,80,14,1
0,76,1,34,0,39,43,4,1
0,76,0,30,-16,39,45,6,1
0,80,-1,-2,8,25,83,58,4
-3,79,0,46,15,33,32,0,1
3,84,0,56,0,28,28,0,1
0,92,-7,10,0,37,82,46,4
-3,84,0,44,0,39,40,2,1
0,92,0,-4,-6,36,97,60,4
0,75,0,36,4,37,39,2,1
0,77,0,12,7,21,64,42,4
0,87,0,50,0,36,38,2,1
0,107,0,38,23,69,68,0,1
0,96,0,54,27,41,42,2,1
0,79,0,26,5,42,53,12,1
-1,76,0,46,12,31,30,0,1
0,78,-2,42,-4,35,37,2,1
1,79,0,54,12,26,24,0,1
0,78,0,42,26,37,37,0,1
3,88,0,54,0,34,33,0,1
0,77,0,38,23,40,39,0,1
0,96,0,28,-14,59,68,8,1
92,80,0,34,0,23,46,24,2
0,77,0,-18,-9,40,95,54,1
-3,77,0,42,-9,34,36,2,1
0,82,0,42,-26,38,41,2,1
0,84,8,42,0,43,43,0,1
0,83,0,-38,1,4,122,118,5
1,98,0,44,-16,42,54,12,4
0,83,0,-42,-81,4,127,124,5
0,86,0,46,10,41,40,0,1
0,86,0,46,-15,37,39,2,1
0,81,0,-10,-5,25,92,66,4
0,92,4,-2,0,36,95,58,4
0,78,-2,44,-4,33,34,2,1
1,78,0,38,0,37,39,2,1
0,77,0,-6,20,21,85,64,4
0,86,-6,44,-9,40,42,2,1
-5,76,0,20,0,40,55,16,1
0,96,0,42,11,40,55,14,4
0,83,0,34,1,46,49,4,1
0,82,2,44,0,37,38,2,1
0,86,-3,50,-4,37,37,0,1
-3,81,0,36,-14,43,44,2,1
0,78,0,42,11,37,37,0,1
0,77,0,50,-12,26,28,2,1
-1,82,-4,38,-6,44,43,0,1
5,88,0,46,0,41,42,0,1
1,86,0,44,12,42,42,0,1
1,86,1,54,0,31,32,2,1
1,95,0,46,-11,47,49,2,1
0,79,0,42,-20,35,37,2,1
0,80,-6,42,0,39,39,0,1
0,95,-4,54,7,40,41,2,1
0,81,0,54,-18,25,26,2,1
0,96,0,52,-30,40,44,4,4
-38,107,0,68,-12,13,40,26,3
-1,86,-3,46,-5,39,40,0,1
0,88,0,44,18,44,44,0,1
0,81,0,-4,-24,44,86,42,1
0,92,0,50,24,36,43,6,4
1,106,0,50,0,57,57,0,1
-1,81,1,38,0,42,42,0,1
0,77,0,-4,-6,21,82,60,4
0,95,0,46,-27,40,49,8,4
1,79,2,50,3,30,30,0,1
0,76,0,38,-1,37,37,0,1
0,76,0,26,-21,39,50,10,1
0,75,0,34,26,38,41,2,1
-2,88,0,46,0,42,42,0,1
0,79,0,42,7,38,38,0,1
0,88,1,46,-2,40,42,2,1
0,95,0,16,-6,58,79,22,1
0,111,0,62,23,50,49,0,1
-1,82,0,42,11,41,41,0,1
4,83,0,46,0,36,36,0,1
0,80,0,54,-2,25,26,2,1
0,95,-7,44,0,39,51,12,4
0,87,0,60,9,28,28,0,1
1,77,8,38,0,39,39,0,1
2,86,0,50,0,37,37,0,1
0,76,0,20,-3,40,55,16,1
1,85,0,54,-12,29,31,2,1
3,76,0,38,7,38,37,0,1
-5,77,1,44,13,34,34,0,1
0,88,-2,38,-45,48,50,2,1
0,83,-6,54,0,28,28,0,1
0,82,3,44,0,38,38,0,1
0,77,0,44,-9,32,34,2,1
0,79,0,36,9,43,43,0,1
0,86,0,46,28,41,39,0,1
0,77,0,28,9,22,49,26,4
0,77,3,42,10,36,35,0,1
0,76,0,26,20,39,50,12,1
0,76,0,34,-14,40,43,2,1
0,77,1,28,0,22,49,26,4
3,87,0,-2,0,3,90,86,5
2,85,0,38,0,45,46,2,1
0,76,0,28,-29,39,47,8,1
-5,86,0,54,0,32,32,0,1
4,93,0,46,3,48,47,0,1
1,77,6,44,1,33,33,0,1
2,102,0,46,30,57,56,0,1
0,77,-3,46,0,29,30,0,1
-3,81,0,52,0,30,30,0,1
0,81,3,28,0,45,53,8,1
0,79,2,16,27,23,63,40,4
-4,87,0,42,0,44,46,2,1
0,85,-1,44,-21,39,41,2,1
0,97,0,38,-4,56,58,2,1
4,86,3,46,0,40,40,0,1
0,97,0,52,27,41,46,4,4
0,83,0,44,17,40,39,0,1
0,104,-6,70,0,1,35,34,5
6,79,0,42,-1,25,37,12,4
0,79,-3,34,0,41,45,4,1
0,77,0,38,-30,36,38,2,1
3,89,0,8,19,3,81,78,5
0,77,5,42,0,36,35,0,1
4,85,0,44,1,41,41,0,1
0,86,4,38,-8,46,48,2,1
0,78,0,6,-19,23,73,50,4
4,80,0,46,31,35,34,0,1
0,102,3,54,6,49,48,0,1
4,106,0,46,0,58,60,2,1
5,78,-1,50,0,27,29,2,1
0,95,0,42,30,40,54,14,4
0,92,0,16,1,54,77,22,1
4,77,-4,44,0,22,34,12,4
0,78,0,6,-7,23,73,50,4
0,93,0,38,-4,37,54,16,4
0,86,0,56,21,31,30,0,1
0,97,-6,50,-13,41,48,6,4
0,88,0,44,-10,42,44,2,1
1,87,0,50,1,38,38,0,1
2,100,3,28,0,62,71,8,1
-3,82,0,42,7,41,41,0,1
-4,86,0,42,0,44,45,2,1
0,95,0,24,12,58,72,14,1
-5,83,0,46,21,38,37,0,1
0,81,0,24,-11,44,57,14,1
0,82,0,38,22,45,43,0,1
4,83,0,-46,0,4,130,126,5
1,86,0,44,-3,40,42,2,1
0,95,0,50,-26,39,46,6,4
-1,98,0,42,-3,42,57,14,4
1,84,0,52,0,32,33,0,1
0,79,0,24,7,23,55,32,4
0,103,-2,28,0,66,75,8,1
0,79,0,44,-19,33,35,2,1
0,90,8,42,0,46,48,2,1
0,95,0,42,-10,40,54,14,4
0,97,-1,50,-11,41,48,6,4
8,78,4,-42,0,4,122,118,5
0,89,0,2,-11,4,86,82,5
0,78,0,8,26,41,70,30,1
0,81,2,42,26,41,40,0,1
0,88,0,50,25,40,39,0,1
0,86,0,52,-7,33,34,0,1
0,76,0,-18,-6,20,94,74,4
0,112,0,68,5,46,45,0,1
0,83,3,50,-1,32,33,2,1
-2,81,0,36,-3,44,44,0,1
-1,77,3,42,0,35,35,0,1
0,80,0,34,8,43,46,4,1
-4,76,-2,38,-10,35,37,2,1
0,96,0,20,6,59,75,16,1
0,79,0,12,-4,43,66,24,1
0,77,0,-18,-8,21,95,74,4
4,95,0,50,1,46,46,0,1
0,102,0,50,-23,51,53,2,1
0,83,1,46,0,37,37,0,1
0,81,2,-42,0,5,125,120,5
0,88,0,46,12,42,41,0,1
0,84,0,50,0,34,35,2,1
3,82,0,42,0,39,41,2,1
0,77,0,34,9,41,44,2,1
-2,76,0,46,0,29,29,0,1
0,83,0,46,-11,34,36,2,1
9,78,0,42,-19,37,37,0,1
-2,95,0,44,14,40,51,12,4
0,97,0,42,0,41,55,14,4
1,85,0,54,0,31,31,0,1
0,76,1,24,0,39,52,14,1
-3,92,0,54,-3,37,38,2,1
2,83,0,44,0,37,39,2,1
0,83,0,42,0,40,41,2,1
3,86,0,50,22,38,37,0,1
0,96,0,30,2,59,65,6,1
0,104,0,54,3,50,49,0,1
5,79,0,54,0,25,25,0,1
0,80,0,24,-14,43,57,14,1
0,83,0,46,3,37,36,0,1
1,76,0,36,-15,38,39,2,1
0,76,6,30,16,40,45,6,1
4,77,0,28,0,24,48,24,4
-1,108,0,38,-11,67,69,2,1
-4,79,0,20,0,42,58,16,1
-4,80,0,50,-16,29,31,2,1
1,76,3,34,0,39,43,4,1
0,96,0,12,-6,59,83,24,1
0,96,-2,50,-6,40,47,6,4
1,79,0,44,1,35,35,0,1
0,86,0,38,-11,46,48,2,1
0,78,6,24,0,22,55,32,4
-2,79,0,54,14,26,24,0,1
0,87,6,46,0,40,41,0,1
0,103,0,18,-9,66,85,20,1
0,87,1,42,0,45,46,0,1
-2,78,0,44,-13,33,34,2,1
0,77,2,-4,-4,21,82,62,4
-5,87,0,46,0,41,41,0,1
3,109,0,72,7,1,36,36,5
-5,76,0,46,7,31,30,0,1
-2,84,0,46,-1,36,38,2,1
0,86,0,52,-21,32,34,2,1
0,77,1,38,0,36,38,2,1
0,80,0,8,2,43,72,30,1
0,97,0,52,26,41,45,4,4
0,83,0,-4,-16,47,88,42,1
0,76,6,18,0,40,58,18,1
-1,87,2,42,0,44,46,2,1
3,93,-4,38,0,54,55,0,1
-4,86,0,56,24,31,30,0,1
0,81,3,42,-6,38,40,2,1
0,97,0,50,1,41,48,6,4
0,84,-1,-14,0,3,99,96,5
0,78,0,46,20,33,32,0,1
0,77,0,-10,31,21,87,66,4
-3,89,4,42,0,48,48,0,1
0,94,0,16,0,57,79,22,1
0,76,0,36,8,39,39,0,1
0,82,-2,36,-8,45,46,2,1
0,77,8,36,-26,39,41,2,1
-3,77,0,46,13,32,31,0,1
0,76,0,34,9,39,42,2,1
0,85,-2,44,-3,40,41,2,1
1,80,0,8,11,43,72,30,1
0,75,-3,36,0,38,39,0,1
0,78,-2,50,-8,27,29,2,1
0,79,3,42,-8,35,37,2,1
0,81,0,54,-5,26,27,2,1
0,79,0,10,13,42,69,26,1
1,81,0,-6,-19,25,88,64,4
0,95,0,50,5,46,46,0,1
3,77,0,46,-5,28,30,2,1
0,93,0,50,0,38,44,6,4
5,90,0,44,0,44,46,2,1
0,96,3,42,-1,53,55,2,1
4,83,0,44,0,39,39,0,1
0,106,0,20,-22,69,85,16,1
-4,88,0,46,-5,39,41,2,1
-3,107,0,36,0,70,71,0,1
0,82,0,-32,-2,26,115,90,4
-5,81,0,46,-6,33,35,2,1
0,95,0,54,5,40,41,2,1
0,82,0,-20,-30,26,103,76,4
0,87,0,52,-27,34,35,2,1
3,77,0,38,0,37,39,2,1
2,83,0,46,4,37,36,0,1
0,79,0,42,-1,35,37,2,1
-2,80,0,56,0,23,23,0,1
0,89,1,54,0,34,35,0,1
0,79,0,10,-19,43,69,26,1
0,88,0,52,24,37,36,0,1
1,87,1,52,0,35,35,0,1
0,111,-1,60,0,50,51,2,1
0,75,4,20,-10,38,54,16,1
0,96,8,56,0,40,39,0,1
-4,92,0,56,0,35,35,0,1
0,88,0,46,-2,39,41,2,1
4,79,1,44,0,35,35,0,1
0,92,0,54,21,36,38,2,1
0,78,0,8,0,23,70,48,4
-4,86,0,46,0,38,39,0,1
-2,98,0,52,2,42,46,4,4
0,84,0,52,22,33,32,0,1
1,80,0,20,0,43,59,16,1
0,85,0,52,-23,32,33,2,1
0,84,-7,42,0,42,43,0,1
0,98,0,52,-20,42,46,4,4
0,77,0,38,28,39,38,0,1
0,74,0,34,1,37,41,4,1
0,82,-1,36,16,45,46,2,1
0,80,-4,36,0,43,44,0,1
2,79,0,44,20,35,35,0,1
4,86,0,38,0,46,48,2,1
0,79,0,0,-6,42,79,36,1
4,81,0,46,-14,33,35,2,1
-5,88,6,56,0,32,31,0,1
0,90,-2,46,-4,43,43,0,1
0,78,0,42,-23,22,37,14,4
5,79,0,38,-16,38,40,2,1
0,78,0,50,31,30,29,0,1
0,83,0,38,-6,42,44,2,1
-1,87,0,44,-17,42,43,2,1
0,75,0,20,22,38,54,16,1
0,75,0,36,-24,37,39,2,1
0,82,0,44,19,38,38,0,1
5,86,0,52,0,34,34,0,1
0,85,2,42,-5,42,44,2,1
0,87,-3,52,2,36,35,0,1
0,83,0,-46,-12,4,130,126,5
0,77,0,24,-1,22,54,32,4
0,82,1,54,14,29,28,0,1
1,82,1,-40,12,4,123,120,5
5,79,0,26,0,41,53,12,1
1,80,0,44,-2,35,36,2,1
0,103,-3,28,0,66,75,8,1
0,77,0,-20,27,41,98,58,1
0,81,-7,44,0,38,37,0,1
0,77,0,-18,6,21,95,74,4
0,103,0,70,-26,1,33,32,5
-5,106,0,34,6,69,72,4,1
-3,88,0,46,19,42,41,0,1
0,81,2,54,-7,25,26,2,1
0,93,0,46,-16,37,46,8,4
0,98,0,44,15,42,54,12,4
0,92,0,56,6,35,35,0,1
0,95,-5,50,10,46,46,0,1
0,85,0,46,30,40,39,0,1
-5,75,-8,-40,2,4,116,112,5
8,95,0,50,0,41,46,6,4
-1,80,0,-10,0,25,90,66,4
1,88,2,46,0,41,41,0,1
0,76,17,42,-5,33,35,2,1
-2,88,0,46,7,42,41,0,1
0,97,4,52,25,41,45,4,4
0,75,0,34,12,38,41,4,1
4,85,0,54,2,32,31,0,1
0,77,0,50,29,29,28,0,1
-2,75,0,38,-20,34,36,2,1
0,97,0,42,19,41,55,14,4
0,106,-1,30,4,69,75,6,1
0,78,6,24,0,23,55,32,4
0,81,4,38,-9,40,42,2,1
3,75,1,-40,16,4,116,112,5
0,77,1,24,0,40,54,14,1
0,81,0,28,-23,45,53,8,1
0,76,6,34,0,39,42,2,1
0,102,-2,54,0,49,48,0,1
0,95,0,20,17,57,74,16,1
0,86,0,60,17,28,27,0,1
0,100,0,44,0,55,56,0,1
0,88,-2,46,-7,39,41,2,1
2,87,0,46,1,41,41,0,1
0,108,7,70,0,2,38,36,5
0,85,-3,50,0,35,36,0,1
-3,83,0,42,-16,40,42,2,1
0,82,-1,42,0,39,41,2,1
1,83,0,42,6,42,42,0,1
