a,b,c,d,e,f,g,h,i,l
4.5,60.3953,20.805,5.8292,80.4958,0.1425,2.6123,-51.2846,39.4844,10.6746
6.0,99.0,13.6211,0.0165,74.5292,0.1678,2.3173,205.0,247.0,241.1406
2.0,58.0,7.125,0.0125,51.2333,0.2732,1.9272,222.0,253.0,248.6328
3.0,84.0,21.125,0.0472,275.275,0.0455,3.3735,204.0,249.0,237.3398
8.0,125.0,49.918,0.0819,713.4958,0.0253,3.8677,192.0,245.0,225.3711
9.0,178.0,84.1758,0.0927,939.0333,0.0223,3.9821,150.0,232.0,190.4453
6.0,159.0,49.7188,0.0514,326.4083,0.0417,3.4541,176.0,239.0,216.3359
4.0,182.0,56.2305,0.0478,249.175,0.0395,3.4054,65.0,238.0,197.207
2.0,4.0,2.2891,0.0005,0.1208,0.7875,0.3686,249.0,251.0,249.7266
79.5287,93.5026,87.8904,0.55,0.775,0.4373,0.9476,-99.978,-73.4684,-87.2065
9.8745,75.2291,37.3461,6.4708,75.7542,0.072,2.8417,-52.6809,35.7034,-5.339
7.0,133.0,44.793,0.0695,598.8168,0.0339,3.6727,182.0,243.0,222.5078
3.0,109.0,30.3906,0.0754,675.1917,0.0274,3.7922,201.0,253.0,238.418
4.9299,78.2388,30.386,7.0625,100.2792,0.0837,2.8885,-1.9724,35.4914,22.1855
19.7637,85.5482,66.3644,2.6958,13.7458,0.1457,2.0978,-99.978,-16.0868,-73.4725
6.0,99.0,27.8125,0.0497,347.3833,0.0493,3.4062,195.0,245.0,229.6133
3.0,156.0,22.3164,0.06,685.1917,0.0765,3.3034,178.0,245.0,233.7891
4.0,169.0,32.4727,0.0498,443.5458,0.0984,3.1373,170.0,249.0,233.2891
44.9166,102.9618,83.3783,2.7417,15.65,0.1549,2.0638,-92.4445,-53.7371,-70.796
35.6724,75.6591,54.5245,2.625,11.9417,0.1489,2.0411,-97.4542,-49.5581,-78.3161
5.0,216.0,67.8633,0.1121,1719.0831,0.0259,3.9728,170.0,245.0,215.2891
4.07,71.3594,17.9624,5.2542,81.0708,0.1401,2.5393,22.1418,41.9693,37.1688
3.0,108.0,21.1289,0.0368,212.8416,0.0615,3.1543,177.0,242.0,230.3398
4.715,42.3368,11.0704,2.3375,16.3125,0.2358,1.9356,13.1275,34.4283,30.8414
86.8381,99.5221,92.4285,0.8917,1.625,0.3361,1.2183,-111.8321,-99.4687,-105.9094
3.0,74.0,13.1641,0.031,155.9125,0.0693,3.0032,220.0,252.0,245.3164
4.285,79.3138,21.7934,3.3792,24.5542,0.1357,2.2731,-58.4081,40.3158,11.0575
5.0,195.0,38.8633,0.0776,757.7209,0.0263,3.8423,182.0,252.0,232.5898
65.7699,99.5221,83.6495,1.3,3.6917,0.2604,1.5337,-92.9238,-69.0443,-84.6453
5.0,137.0,25.168,0.0368,293.7751,0.1022,2.9177,188.0,247.0,236.5703
4.0,46.0,8.6211,0.0117,25.6583,0.1656,2.1082,215.0,246.0,237.9766
7.0,85.0,26.3008,0.0391,175.575,0.0476,3.2397,213.0,245.0,234.9336
59.1054,111.7761,80.5549,3.0583,18.6667,0.1374,2.181,-110.136,-48.532,-89.6984
18.0,183.0,90.6641,0.092,850.8126,0.0253,3.8893,155.0,231.0,187.6992
4.0,128.0,25.418,0.0651,583.0417,0.033,3.6782,184.0,245.0,228.9375
3.855,116.0757,21.0763,4.5875,89.7292,0.2972,2.0776,3.9254,41.5571,34.2909
5.5749,57.1706,10.5203,2.5667,28.6833,0.2284,1.9541,14.0712,34.6414,31.8451
3.0,167.0,39.5078,0.0673,714.5875,0.0541,3.5054,182.0,254.0,234.25
14.8191,100.597,71.3351,3.7958,25.9042,0.1079,2.4001,-86.3875,20.5535,-41.1604
3.0,238.0,34.0313,0.0519,627.95,0.0911,3.1381,164.0,251.0,235.7773
2.0,205.0,69.0469,0.0886,1180.2876,0.0506,3.6975,158.0,242.0,206.7188
50.2912,125.9649,77.6678,7.8208,116.7292,0.0612,3.0334,-27.5664,-5.332,-12.2862
4.0,102.0,33.6484,0.0746,647.6917,0.0286,3.736,200.0,250.0,232.5352
2.0,205.0,58.7461,0.063,656.2458,0.0663,3.3958,182.0,250.0,225.1016
76.089,90.2778,83.212,0.6625,1.3958,0.4244,1.1065,-99.978,-86.3875,-93.2145
5.7899,64.05,25.1458,6.2208,82.5792,0.0793,2.8364,0.5703,33.5741,23.0925
64.05,94.1475,79.7294,1.6792,6.5125,0.2199,1.7442,-106.2813,-85.0325,-96.4166
5.0,181.0,27.1992,0.0422,274.2542,0.0514,3.2698,166.0,243.0,229.8906
6.4348,151.3328,73.5924,14.7583,340.7251,0.0346,3.5457,-12.7902,38.6498,8.2585
70.4995,92.2127,80.9253,1.2375,3.8708,0.2782,1.5075,-108.4668,-86.8425,-100.725
16.0,195.0,95.4258,0.1085,1181.0459,0.0196,4.0853,157.0,231.0,190.1133
57.8155,101.2419,78.9064,2.5125,10.9875,0.1525,2.0112,-106.2813,-53.0321,-83.595
44.7016,127.2548,78.5092,6.05,70.2334,0.0735,2.8114,-17.1999,5.1619,-7.9431
4.0,230.0,69.6602,0.0986,1249.1833,0.029,3.925,166.0,247.0,215.4258
59.5354,83.8284,70.8992,2.2083,9.3167,0.1749,1.9356,-103.0842,-72.6526,-89.3262
9.0,157.0,38.3633,0.0559,497.275,0.0497,3.4708,154.0,234.0,216.7461
73.7242,85.3333,81.7449,0.1833,0.2333,0.7228,0.5069,-97.9544,-86.3875,-93.4583
76.734,91.7827,84.1861,1.0208,2.4375,0.3043,1.3699,-111.8321,-95.8417,-104.2061
77.5939,92.8576,85.8917,0.9083,2.4417,0.3476,1.3076,-103.0842,-87.7579,-97.3062
2.0,2.0,2.0,0.0,0.0,1.0,0.0,246.0,250.0,248.3633
5.0,16.0,5.7305,0.0017,0.8167,0.5326,0.8504,240.0,246.0,245.1914
5.0,37.0,10.6016,0.0085,14.3458,0.2099,1.9197,232.0,247.0,243.7461
2.0,7.0,2.4609,0.0006,0.225,0.7596,0.4502,245.0,247.0,246.8438
5.0,79.0,16.1094,0.0254,96.9042,0.0814,2.8306,200.0,242.0,234.1055
31.3727,111.1311,60.7195,4.4875,34.0625,0.0947,2.5097,-77.2051,-25.4989,-46.7933
46.2065,87.6981,64.9629,1.8083,5.85,0.1943,1.7385,-98.9616,-37.0587,-74.4532
6.0048,73.5092,20.8269,4.625,41.4667,0.098,2.5533,-0.1888,33.7879,23.7798
3.64,124.03,27.6349,10.0292,211.1042,0.0666,3.167,5.1619,42.3808,32.1584
6.0,123.0,36.7422,0.0798,794.5791,0.0325,3.7225,187.0,248.0,231.293
76.519,87.2681,82.9584,0.5708,0.9125,0.4331,0.9942,-102.5603,-85.9341,-95.0644
7.0,134.0,34.6992,0.0738,694.3834,0.0314,3.7299,184.0,239.0,224.5898
13.0,162.0,73.3984,0.0909,835.75,0.0232,3.9257,179.0,243.0,210.3008
90.0629,113.7109,100.0217,2.05,7.7,0.178,1.8602,-109.0203,-87.7579,-102.829
5.7899,125.7499,28.4529,8.0083,162.4417,0.0845,2.9717,0.5703,37.6021,28.4598
1.0,111.0,7.7891,0.0233,161.8334,0.1637,2.4469,204.0,252.0,244.8633
3.64,109.1963,15.4573,4.1583,86.0417,0.3797,1.8606,-21.1547,41.3507,33.856
3.0,161.0,20.4297,0.042,391.7667,0.0797,3.0768,167.0,242.0,230.7305
7.0,197.0,61.2773,0.1014,1230.9792,0.0223,3.9977,170.0,241.0,211.6953
5.7899,92.4277,23.1841,4.5333,55.7417,0.1822,2.387,-5.332,33.3599,22.3126
3.855,32.0177,5.2675,0.7417,6.4167,0.6697,0.8253,26.1705,40.1082,38.7736
44.4866,129.8345,72.9357,5.775,74.6833,0.0868,2.7229,-18.8835,-4.2916,-8.4832
5.1449,121.4503,33.5351,11.9417,298.9167,0.0582,3.3047,1.8286,39.9005,28.0816
6.0,139.0,33.9648,0.0713,631.9625,0.0302,3.7262,184.0,240.0,224.0313
4.07,75.874,13.2907,4.6917,63.5917,0.1567,2.4658,23.4935,41.5571,37.9289
72.6493,87.2681,80.2476,0.8292,1.4458,0.3506,1.1729,-110.6983,-92.9238,-101.3592
2.0,19.0,2.2461,0.0017,4.1667,0.7647,0.5668,240.0,249.0,248.418
14.0,173.0,78.4219,0.0946,896.3542,0.0219,3.9692,154.0,234.0,193.5469
2.0,3.0,2.1992,0.0003,0.075,0.8613,0.2664,248.0,252.0,249.8047
2.0,95.0,15.2148,0.0368,258.8583,0.0902,3.0224,209.0,253.0,244.6836
2.0,153.0,23.4492,0.0514,595.8793,0.1139,2.9886,161.0,241.0,227.7656
3.0,141.0,30.8047,0.0822,835.6542,0.0267,3.8621,195.0,252.0,236.8906
76.089,131.1245,96.0538,3.5833,20.6333,0.1134,2.2933,-80.6227,-37.6914,-49.4338
5.0,203.0,73.3633,0.1002,1120.4918,0.0215,4.0562,121.0,237.0,196.4141
10.9494,73.0793,43.9525,9.0042,131.3375,0.0534,3.0861,-0.6967,29.032,10.542
3.0,179.0,44.9141,0.0531,440.6458,0.0516,3.4527,195.0,247.0,229.6211
7.0,174.0,45.5234,0.0802,732.45,0.0264,3.8021,159.0,236.0,215.5273
49.4312,100.597,82.1043,3.9792,29.0875,0.1062,2.4289,-15.533,-2.4852,-12.0411
2.0,41.0,4.6797,0.0113,28.1583,0.1869,2.0824,233.0,251.0,247.3555
4.0,139.0,41.207,0.0755,641.1833,0.0262,3.8179,194.0,251.0,232.6094
7.7247,127.8997,46.7826,10.4792,218.1792,0.0502,3.2648,-5.332,36.3381,18.5375
6.6498,125.7499,53.8921,9.8458,167.4625,0.0475,3.2015,-12.5183,36.971,14.7971
4.0,197.0,77.4805,0.089,874.4709,0.0243,3.9442,155.0,239.0,197.2773
27.933,115.2158,69.5984,7.5792,101.1208,0.0608,2.9969,-27.5664,5.9,-11.365
1.0,206.0,38.5781,0.0842,1132.8208,0.057,3.6135,186.0,251.0,234.3164
7.0,82.0,22.8125,0.038,205.9708,0.0563,3.189,198.0,240.0,230.6133
4.0,129.0,23.2031,0.0565,539.1459,0.0453,3.4661,193.0,253.0,241.6289
7.0,141.0,52.1211,0.0878,828.8542,0.0235,3.9121,186.0,247.0,220.4844
4.0,157.0,61.0078,0.0869,885.1249,0.0246,3.9049,155.0,238.0,200.3516
6.0048,89.6329,34.0222,4.0875,32.5458,0.1055,2.4485,-23.1677,34.8542,8.9444
1.0,56.0,6.1016,0.0153,62.2333,0.2167,2.1566,219.0,253.0,248.6328
5.0,55.0,14.5,0.0186,61.6333,0.1174,2.5266,223.0,245.0,240.9063
5.1449,103.3918,39.6277,9.3083,158.9917,0.0532,3.171,-66.693,36.3381,-18.9115
13.0,194.0,109.4297,0.064,426.8417,0.031,3.637,153.0,241.0,186.4023
3.855,15.4641,4.2758,0.1,0.3583,0.9189,0.2265,35.0668,39.6925,38.7283
9.4446,91.9977,62.1194,5.5833,57.225,0.0848,2.6802,-0.1888,30.1224,4.6018
7.2947,131.3394,45.1543,9.575,150.0583,0.0475,3.1857,-62.4872,34.8542,2.5957
87.2681,105.3266,96.1428,1.7958,5.9875,0.1968,1.7561,-110.136,-99.4687,-104.867
18.0,212.0,98.7695,0.1092,1211.0083,0.019,4.097,166.0,240.0,196.5781
1.0,4.0,1.8203,0.0007,0.1917,0.7196,0.4836,245.0,250.0,247.9805
14.0,189.0,95.8477,0.1037,1176.8668,0.0197,4.0637,154.0,233.0,183.1172
4.07,98.8771,18.4906,5.175,69.7334,0.1504,2.4801,14.5413,41.5571,35.4624
5.0,166.0,53.875,0.1003,1156.6749,0.0208,4.0542,164.0,241.0,211.7656
10.0,153.0,50.5859,0.0732,712.0917,0.0362,3.7132,163.0,242.0,217.0117
5.7899,68.1347,29.7133,4.975,50.3,0.0904,2.6253,-23.1677,30.3397,8.015
10.0895,91.9977,47.3158,5.6042,64.7542,0.0842,2.7023,-100.4897,18.7228,-63.0873
1.0,68.0,4.4766,0.0097,44.15,0.2618,1.7856,217.0,250.0,247.6133
10.0,206.0,141.6641,0.0612,458.5917,0.0329,3.6031,191.0,243.0,201.1875
5.7899,96.0824,28.8324,7.9125,124.7708,0.066,3.0231,-0.4426,33.7879,21.6929
6.0,168.0,49.3633,0.075,718.3375,0.031,3.7236,180.0,247.0,223.5664
52.226,112.851,90.9773,6.7208,75.9125,0.0665,2.8671,-13.8821,0.5703,-9.7421
4.0,28.0,5.8438,0.0053,7.1333,0.3057,1.5227,234.0,247.0,245.4063
34.1675,68.1347,54.3389,1.0375,2.5375,0.3078,1.3704,-88.2182,-35.4883,-71.2155
3.0,195.0,53.4414,0.1314,2067.6294,0.0191,4.1857,168.0,250.0,223.6133
7.9397,129.6196,73.8107,9.0542,145.5458,0.0532,3.1461,-16.3644,32.5014,-2.0964
5.1449,17.8289,6.4172,0.3875,1.3625,0.68,0.7125,22.5934,37.1816,34.216
21.4836,110.2712,67.2706,6.0167,64.95,0.0794,2.7424,-13.0626,27.9361,-3.8923
51.5811,80.8186,67.0598,1.1958,2.6625,0.2674,1.4095,-94.8607,-56.2329,-79.4716
5.0,122.0,21.7578,0.0352,217.4709,0.0659,3.0695,205.0,246.0,238.5742
2.0,119.0,12.4102,0.0241,223.5625,0.3338,1.9853,200.0,252.0,244.8984
35.4574,101.0269,71.6156,5.7333,54.4833,0.0767,2.7236,-22.8787,-1.9724,-14.6714
39.972,75.874,52.5804,2.0375,7.8125,0.1845,1.8633,-89.1444,-58.0431,-71.6054
85.1183,98.6621,91.7793,0.9542,1.9625,0.3142,1.2938,-102.5603,-86.8425,-97.3329
6.0048,114.3558,39.9955,4.775,45.8917,0.098,2.5894,-42.8494,38.0217,8.8683
10.0,157.0,43.8516,0.0685,601.9667,0.0322,3.6796,187.0,245.0,226.3281
2.0,134.0,28.7266,0.0757,890.6625,0.0404,3.6631,195.0,253.0,238.8633
6.6498,105.3266,40.2013,6.0958,74.9458,0.0817,2.7872,-23.7475,32.0708,2.7529
52.441,113.2809,83.9577,3.1833,22.1333,0.1341,2.2453,-32.3943,-20.0152,-28.8308
6.8648,80.3887,28.7216,7.5792,103.6875,0.0607,2.9972,-69.0443,34.8542,-0.92
12.6693,77.5939,48.9005,5.0375,48.1375,0.0892,2.6381,-80.6227,19.6402,-49.5422
22.0,198.0,129.5039,0.0876,801.9874,0.0233,3.9221,151.0,225.0,166.3086
1.0,5.0,1.9805,0.0004,0.1333,0.8192,0.3424,247.0,251.0,249.2461
1.0,2.0,1.2109,0.0006,0.1542,0.7392,0.4299,249.0,252.0,250.7188
3.0,172.0,29.5508,0.0732,800.7667,0.035,3.6856,176.0,245.0,230.8164
28.7929,115.4307,91.1419,3.8042,28.9875,0.1145,2.3696,-17.4794,0.8227,-5.6739
83.3984,109.4113,94.2819,1.5208,4.7625,0.229,1.6474,-106.8235,-90.0778,-99.4168
3.64,77.1639,9.1448,0.9583,7.6167,0.5848,1.0236,-23.7475,40.7304,32.1791
4.0,94.0,17.5625,0.0357,212.0,0.0617,3.1088,186.0,234.0,226.668
3.0,166.0,37.1094,0.0631,666.2458,0.0618,3.4321,182.0,251.0,232.4297
5.5749,33.3076,8.1656,1.2583,9.3667,0.4491,1.3381,16.4106,34.6414,32.404
6.6498,108.9813,39.8402,8.6792,122.7042,0.051,3.1026,-72.6526,33.3599,-15.9083
7.0,122.0,29.9023,0.0601,441.9375,0.0378,3.5419,197.0,246.0,232.6328
20.0,250.0,130.4609,0.1224,1437.5668,0.0176,4.1617,164.0,236.0,184.6328
7.0,70.0,15.1484,0.0201,62.2292,0.0996,2.624,216.0,247.0,241.332
33.7375,75.6591,55.4046,2.2792,9.6375,0.1674,1.9545,-88.6804,-25.2057,-59.8336
5.0,240.0,72.793,0.143,2208.5168,0.0177,4.2344,168.0,249.0,216.6797
6.4348,68.5646,27.7928,7.6583,94.9167,0.0587,2.9915,-53.0321,35.7034,-4.4507
4.0,104.0,18.8594,0.0454,308.8042,0.0538,3.302,203.0,250.0,240.9063
4.0,227.0,68.0,0.0745,796.3708,0.0485,3.6201,166.0,247.0,215.3984
7.0,95.0,26.582,0.0404,237.7333,0.0532,3.2457,196.0,246.0,233.4375
5.1449,20.1937,7.7222,0.8833,3.325,0.4296,1.2329,5.4082,35.2792,29.8162
7.0,179.0,81.9336,0.0796,701.3708,0.025,3.8536,153.0,238.0,194.7969
1.0,7.0,2.0078,0.0008,0.2917,0.6819,0.5348,246.0,251.0,248.6055
5.0,69.0,14.3242,0.0243,86.575,0.0843,2.7799,222.0,245.0,240.4688
83.3984,101.4569,91.9548,1.1542,2.9125,0.2777,1.4403,-109.0203,-91.9673,-102.4637
3.0,68.0,11.2031,0.0261,120.8208,0.0852,2.8486,212.0,251.0,245.5313
3.64,112.636,22.4065,7.4042,152.2875,0.1223,2.8113,7.1237,37.3919,29.4714
2.0,24.0,4.2852,0.0055,7.8917,0.3374,1.5078,237.0,252.0,248.9414
5.1449,117.7956,32.425,5.3292,78.5792,0.1423,2.5656,-5.0714,37.3919,26.5303
6.0,76.0,25.7852,0.0382,164.2542,0.0493,3.2166,211.0,244.0,234.4531
4.285,147.4631,31.0184,8.2042,190.7792,0.161,2.7393,-8.2246,40.1082,29.9133
4.0,24.0,5.332,0.0037,4.3083,0.3931,1.2993,235.0,247.0,245.4297
4.07,138.6488,41.4072,8.9167,186.35,0.1171,2.9193,-10.8958,40.9373,20.6505
7.7247,78.6688,43.0675,5.6375,60.6375,0.0794,2.7557,-7.9597,32.7164,7.6853
7.0,202.0,75.7305,0.1179,1558.2792,0.0197,4.1146,172.0,247.0,214.5078
83.3984,107.4764,97.2127,1.8917,6.3,0.1926,1.7661,-112.9784,-77.6272,-95.0346
6.0,64.0,15.7305,0.0249,89.2917,0.0808,2.8185,213.0,237.0,231.6563
4.0,174.0,38.7656,0.0688,674.7125,0.0364,3.6824,169.0,247.0,227.1992
4.0,154.0,46.8711,0.0823,814.2875,0.0264,3.8772,193.0,248.0,227.5977
28.7929,82.3235,66.068,4.2,33.4333,0.1024,2.4765,-14.4306,13.1275,-4.5586
7.0,98.0,33.8477,0.0421,224.7208,0.0482,3.2765,184.0,245.0,227.5234
10.0,142.0,60.3281,0.084,721.7125,0.0253,3.8436,180.0,245.0,217.918
3.855,156.0624,31.4416,7.35,155.0917,0.2167,2.4812,-3.7737,41.5571,30.1323
4.0,78.0,12.1563,0.0215,107.8208,0.1449,2.5383,193.0,235.0,229.9531
3.0,214.0,94.4102,0.1502,2301.396,0.0161,4.2877,168.0,247.0,202.5234
2.0,28.0,3.7188,0.0023,3.8917,0.5716,0.8424,237.0,247.0,245.6055
3.0,57.0,7.3477,0.0147,67.3208,0.2262,2.11,217.0,252.0,247.5938
65.0,164.0,111.7031,0.0436,196.6625,0.0418,3.2995,192.0,212.0,198.8906
5.0,10.0,5.5469,0.0012,0.4375,0.6089,0.7044,241.0,247.0,244.9453
18.9038,151.7627,64.9922,7.8917,111.2,0.0612,2.9927,-23.4573,24.6132,-3.4966
8.5846,97.8022,55.0552,6.75,80.2917,0.0711,2.8315,-7.431,34.0016,5.6902
12.2393,81.6786,43.5889,5.35,51.525,0.0824,2.6901,-100.4897,14.0712,-52.0446
47.0,221.0,125.4492,0.1125,1242.8458,0.0216,4.0017,135.0,210.0,168.1211
8.0,166.0,69.9609,0.0659,542.725,0.0317,3.6293,150.0,233.0,190.8125
48.7863,75.0141,63.1313,0.9833,2.2917,0.3153,1.3321,-103.0842,-82.8076,-94.2667
4.0,178.0,40.0313,0.0928,1149.9417,0.0261,3.8973,170.0,249.0,231.2031
9.0146,101.2419,60.4877,8.1833,124.6667,0.0585,3.0241,-41.8688,30.1224,-4.8439
4.0,161.0,43.8945,0.071,679.4,0.0315,3.7563,153.0,239.0,214.5625
31.1577,104.0367,76.7105,5.7208,55.6792,0.0779,2.7184,-25.4989,2.0793,-16.2552
73.7242,81.0336,77.9416,0.2375,0.2792,0.6524,0.5912,-110.136,-98.9616,-104.7904
7.0,117.0,23.6133,0.0404,268.2166,0.0581,3.2199,192.0,246.0,236.4453
6.0,123.0,19.9219,0.0364,200.7167,0.061,3.1068,196.0,247.0,238.332
22.3435,113.0659,61.3216,7.8,108.4,0.0611,2.9956,-18.0396,18.9525,-6.3607
3.0,124.0,14.8125,0.0293,253.2958,0.1403,2.6243,182.0,245.0,237.4219
48.1413,113.7109,72.5838,2.6292,14.1958,0.1522,2.0935,-105.205,-62.1113,-87.7626
6.2198,60.6103,20.1701,3.8083,42.3333,0.1525,2.3369,7.1237,37.1816,29.6068
3.64,5.7899,4.0188,0.0042,0.0042,0.9917,0.027,36.5493,39.6925,38.6967
4.285,49.0013,9.0322,1.7958,14.9125,0.457,1.4333,5.6542,36.3381,32.0837
8.7996,121.2353,34.904,8.0333,145.375,0.0834,2.9645,-26.973,29.9047,10.7574
10.7345,102.3168,78.1507,4.6292,36.2625,0.0974,2.5108,-22.8787,28.8133,-12.4428
3.855,30.9428,6.7086,1.2417,8.3833,0.4752,1.2931,30.3397,41.1441,39.4655
6.2198,75.874,29.2011,7.4333,92.7167,0.061,2.9521,8.097,33.1456,23.8285
3.0,136.0,28.1406,0.0522,471.0833,0.0609,3.3075,175.0,245.0,228.75
4.0,190.0,67.8711,0.1073,1423.5292,0.0216,4.0542,159.0,240.0,204.5938
4.0,168.0,47.4375,0.0855,948.3625,0.031,3.814,152.0,237.0,206.0938
84.0434,98.6621,88.7947,1.0167,2.1417,0.3092,1.3203,-105.205,-95.8417,-100.3734
7.0798,84.4733,34.7637,5.2833,51.7,0.0836,2.6606,-13.0626,31.6394,11.4987
18.0438,102.7468,54.8915,4.9,42.9,0.0856,2.6197,-103.0842,11.7035,-56.8736
3.0,123.0,29.7031,0.0579,436.0583,0.0385,3.4962,204.0,253.0,239.3438
3.0,166.0,24.5859,0.0763,943.3667,0.0428,3.654,174.0,243.0,231.0938
1.0,161.0,23.9258,0.0638,770.4333,0.0694,3.3835,193.0,249.0,237.6523
37.8222,115.6457,76.5081,6.75,78.0083,0.0644,2.8925,-22.0145,-0.6967,-11.1681
1.0,176.0,19.1797,0.0285,326.0917,0.2489,2.2398,191.0,254.0,243.4102
89.8479,103.6067,96.0723,1.4292,4.0042,0.2409,1.5543,-108.4668,-101.0037,-105.2515
8.1547,77.8089,42.441,2.9,17.0667,0.1391,2.1757,-75.1155,31.207,-36.5248
6.2198,110.2712,30.8017,7.4542,106.6708,0.0649,2.9784,-10.0901,33.3599,20.6246
3.4251,41.6919,6.9882,2.0,20.7417,0.4284,1.5297,28.1558,41.5571,39.5089
38.6821,67.2747,57.7736,1.1917,3.4583,0.2777,1.478,-102.5603,-59.5086,-94.8511
2.0,155.0,19.4258,0.0509,433.0292,0.0464,3.3913,192.0,246.0,235.8711
4.0,178.0,55.2109,0.1271,1803.3083,0.0187,4.1941,178.0,250.0,222.4883
7.0,135.0,47.7227,0.0653,483.2458,0.0317,3.6513,184.0,246.0,223.3633
2.0,66.0,7.668,0.0171,88.7792,0.207,2.2351,208.0,242.0,238.1133
10.0,150.0,56.3711,0.0721,547.4083,0.0282,3.7506,161.0,236.0,207.9805
3.0,99.0,9.7109,0.0177,155.2125,0.2399,2.0188,186.0,240.0,232.8398
5.0,137.0,35.2383,0.0776,762.9083,0.0283,3.8147,184.0,242.0,224.8477
46.2065,69.6396,54.2196,1.0042,2.4458,0.3126,1.3627,-91.9673,-60.618,-78.3729
10.0,172.0,72.832,0.0913,845.2084,0.0238,3.8982,169.0,242.0,206.75
3.0,86.0,22.2461,0.0486,310.9292,0.0433,3.3941,212.0,249.0,239.0742
51.5811,134.3492,92.8148,9.7667,157.225,0.0493,3.1815,-18.0396,3.0785,-7.8683
11.5944,77.5939,36.1401,4.2,30.4417,0.1027,2.415,-69.0443,28.1558,-22.1919
3.64,17.1839,4.8829,0.2792,0.9958,0.7395,0.5804,35.9152,41.7633,40.7231
